Country,Agricultural_Land,Arable_Land (%% of Total Agricultural Land),Area_Total,Exports_billion_USD,Imports_billion_USD,Irrigated_Land,Land_Area,Permanent_Crops (%% of Total Agricultural Land),Permanent_Pasture (%% of Total Agricultural Land),Population_Growth_Rate,Real_GDP_Growth_Rate_percent,Total_Population,Water_Area,electricity_access_percent,electricity_generating_capacity_kW,railways_km,roadways_km,waterways_km
AFGHANISTAN,58.1,11.8,"652,230 sq km",1.48,6.98,"24,930 sq km","652,230 sq km",0.3,46.0,2.26,-20.74,39232003.0,0 sq km,97.0,776000.0,,34903.0,1200.0
ALBANIA,42.8,22.3,"28,748 sq km",5.61,8.0,"1,820 sq km","27,398 sq km",3.0,17.4,0.19,8.52,3101621.0,"1,350 sq km",100.0,2531000.0,424.0,3945.0,41.0
ALGERIA,17.4,3.2,"2,381,740 sq km",41.78,44.32,"12,605 sq km","2,381,740 sq km",0.4,13.8,1.27,3.5,44758398.0,0 sq km,99.0,21694000.0,4020.0,104000.0,
AMERICAN SAMOA,24.5,15.0,224 sq km,428.0,615.0,0 sq km,224 sq km,9.5,0.0,1.74,-1.87,44620.0,0 sq km,59.0,47000.0,,241.0,
ANDORRA,40.0,1.7,468 sq km,497.87,476.68,0 sq km,468 sq km,0.0,38.3,0.11,5.52,85468.0,0 sq km,100.0,115837000.0,0.0,269.0,0.0
ANGOLA,45.7,3.9,"1,246,700 sq km",33.67,18.84,860 sq km,"1,246,700 sq km",0.3,41.5,3.34,1.1,35981281.0,0 sq km,48.0,7344000.0,2761.0,26000.0,1300.0
ANGUILLA,0.0,0.0,91 sq km,7.9,186.2,0 sq km,91 sq km,0.0,0.0,1.77,-8.5,19079.0,0 sq km,100.0,,,175.0,
ANTIGUA AND BARBUDA,20.5,9.0,443 sq km,749.48,868.8,1.3 sq km,443 sq km,2.3,9.0,1.13,5.27,101489.0,0 sq km,100.0,117000.0,,1170.0,
ARGENTINA,53.9,13.9,"2,780,400 sq km",87.42,72.36,"23,600 sq km","2,736,690 sq km",0.4,39.6,0.8,10.4,46621847.0,"43,710 sq km",100.0,44731000.0,17866.0,281290.0,11000.0
ARMENIA,59.7,15.8,"29,743 sq km",5.01,6.12,"1,554 sq km","28,203 sq km",1.9,42.0,0.4,5.7,2989091.0,"1,540 sq km",100.0,3633000.0,686.0,7700.0,
ARUBA,11.1,11.1,180 sq km,2.2,1.95,,180 sq km,0.0,0.0,1.11,17.17,123.0,0 sq km,100.0,296000.0,,1000.0,
AUSTRALIA,46.65,4.03,"7,741,220 sq km",389.79,298.71,"15,210 sq km","7,682,300 sq km",0.04,42.58,1.19,2.24,26461166.0,"58,920 sq km",100.0,82517000.0,36064.0,873573.0,2000.0
AUSTRIA,38.4,16.5,"83,871 sq km",268.28,265.77,382 sq km,"82,445 sq km",0.8,21.1,0.31,4.56,8940860.0,"1,426 sq km",100.0,28376000.0,6123.0,137039.0,358.0
