Country,Exchange_Rate_per_USD,Female_Literacy_Rate,Male_Literacy_Rate,Median_Age,Population_Below_Poverty_Line_percent,Public_Debt_percent_of_GDP,Real_GDP_Growth_Rate_percent,Real_GDP_per_Capita_USD,Total_Literacy_Rate,Total_Population,Unemployment_Rate_percent,Youth_Unemployment_Rate,Youth_Unemployment_Rate_percent,broadband_fixed_subscriptions_total,electricity_access_percent,internet_users_total,mobile_cellular_subscriptions_total
AFGHANISTAN,76.814,7.2,39.4,19.5,54.5,7.0,-20.74,1500.0,37.3,39232003.0,13.28,20.2,20.2,26570.0,97.0,7020000.0,23000000.0
ALBANIA,103.52,6.0,38.8,34.3,14.3,84.06,8.52,14500.0,98.4,3101621.0,11.82,27.8,27.8,508937.0,100.0,2291000.0,2635466.0
ALGERIA,135.064,0.7,41.3,28.9,5.5,27.5,3.5,11000.0,81.4,44758398.0,12.7,31.9,31.9,3790459.0,99.0,31240000.0,47028685.0
AMERICAN SAMOA,,,,27.2,,12.2,-1.87,11200.0,,44620.0,29.8,,,,59.0,18135.0,2250.0
ANDORRA,0.845,28.3,35.3,46.2,20.7,141.22,5.52,37900.0,100.0,85468.0,14.73,36.9,36.9,16188502.0,100.0,44180000.0,56805348.0
ANGOLA,631.442,62.4,82.6,15.9,32.3,65.0,1.1,5900.0,71.1,35981281.0,8.53,18.5,18.5,230610.0,48.0,11550000.0,15327864.0
ANGUILLA,2.7,,,35.7,23.0,20.1,-8.5,12200.0,,19079.0,8.0,,,5000.0,100.0,13056.0,26000.0
ANTIGUA AND BARBUDA,2.7,99.4,98.4,32.7,,86.8,5.27,19100.0,99.0,101489.0,11.0,,,8000.0,100.0,89280.0,180000.0
ARGENTINA,94.991,19.6,29.4,32.4,35.5,57.6,10.4,21500.0,99.0,46621847.0,10.9,29.9,29.9,9571562.0,100.0,39150000.0,59065827.0
ARMENIA,503.77,1.5,49.4,36.6,26.4,63.4,5.7,14200.0,99.8,2989091.0,20.9,36.1,36.1,430407.0,100.0,2212000.0,3599278.0
ARUBA,1.79,97.8,97.8,39.9,,86.0,17.17,38900.0,97.8,123.0,7.7,,,19000.0,100.0,106800.0,140000.0
AUSTRALIA,1.331,11.5,15.6,37.5,,69.41,2.24,49800.0,,26461166.0,5.11,10.8,10.8,8470000.0,100.0,22310000.0,28270000.0
AUSTRIA,0.845,25.0,27.7,44.5,13.3,99.91,4.56,54100.0,,8940860.0,6.3,11.4,11.4,2606000.0,100.0,8276999.0,10882217.0
AZERBAIJAN,1.7,0.1,47.9,32.6,4.9,54.1,5.6,14400.0,99.8,10420515.0,6.58,16.5,16.5,1995474.0,100.0,8600000.0,10817071.0
"BAHAMAS, THE",1.0,2.4,18.8,32.8,9.3,84.45,13.72,30200.0,,358508.0,13.24,30.8,30.8,83000.0,100.0,385400.0,466000.0
BAHRAIN,0.376,4.5,25.3,32.9,,88.5,2.23,49400.0,97.5,1553886.0,1.87,9.9,9.9,148928.0,100.0,1500000.0,1923443.0
BANGLADESH,85.084,17.1,52.2,27.9,24.3,33.1,6.94,5900.0,74.9,167184465.0,5.23,14.7,14.7,10052819.0,98.0,66300000.0,181021227.0
BARBADOS,2.0,1.9,15.0,39.5,,146.93,-0.19,13800.0,99.6,303431.0,10.41,30.6,30.6,128000.0,100.0,240800.0,316633.0
BELARUS,2.539,13.5,47.4,40.9,5.0,33.24,2.3,19800.0,99.9,9383853.0,4.74,11.3,11.3,3255552.0,100.0,8352000.0,11760087.0
BELGIUM,0.845,21.0,25.8,41.6,14.8,119.43,6.13,51700.0,,11913633.0,6.42,19.6,19.6,4734210.0,100.0,10920000.0,11740118.0
BELIZE,2.0,1.8,15.1,23.9,41.0,99.0,15.23,8800.0,,419137.0,8.22,19.3,19.3,36000.0,97.0,248000.0,260000.0
BENIN,554.608,1.9,11.8,17.0,38.5,54.6,7.16,3300.0,45.8,14219908.0,1.57,3.9,3.9,29981.0,41.0,4420000.0,12731782.0
BERMUDA,1.0,29.0,29.7,43.6,11.0,43.0,5.41,80300.0,,72576.0,7.0,29.3,29.3,23000.0,100.0,64000.0,68000.0
BHUTAN,73.939,62.8,77.9,29.1,8.2,117.33,4.09,10900.0,70.9,876181.0,4.33,18.8,18.8,3189.0,100.0,670800.0,778008.0
BOLIVIA,6.91,4.8,20.5,25.3,37.2,49.0,6.11,8100.0,92.5,12186079.0,8.51,17.4,17.4,931918.0,98.0,7920000.0,12033941.0
BOSNIA AND HERZEGOVINA,1.654,28.0,42.0,43.3,16.9,46.05,7.55,15700.0,98.1,3807764.0,15.22,32.9,32.9,770424.0,100.0,2508000.0,3728775.0
BOTSWANA,11.087,8.3,30.4,25.7,19.3,19.66,11.37,14800.0,88.5,2417596.0,24.72,41.2,41.2,259525.0,73.0,1924000.0,4160553.0
