Country,Agricultural_Land,Area_Total,Irrigated_Land,Land_Area,Median_Age,Net_Migration_Rate,Population_Below_Poverty_Line_percent,Population_Growth_Rate,Public_Debt_percent_of_GDP,Real_GDP_Growth_Rate_percent,Real_GDP_per_Capita_USD,Total_Population,Unemployment_Rate_percent,Youth_Unemployment_Rate,airports_paved_runways_count,broadband_fixed_subscriptions_total,internet_users_total,mobile_cellular_subscriptions_total,railways_km,roadways_km
AFGHANISTAN,58.1,"652,230 sq km","24,930 sq km","652,230 sq km",19.5,0.1,54.5,2.26,7.0,-20.74,1500.0,39232003.0,13.28,20.2,29.0,26570.0,7020000.0,23000000.0,,34903.0
ALBANIA,42.8,"28,748 sq km","1,820 sq km","27,398 sq km",34.3,3.22,14.3,0.19,84.06,8.52,14500.0,3101621.0,11.82,27.8,3.0,508937.0,2291000.0,2635466.0,424.0,3945.0
ALGERIA,17.4,"2,381,740 sq km","12,605 sq km","2,381,740 sq km",28.9,0.81,5.5,1.27,27.5,3.5,11000.0,44758398.0,12.7,31.9,67.0,3790459.0,31240000.0,47028685.0,4020.0,104000.0
AMERICAN SAMOA,24.5,224 sq km,0 sq km,224 sq km,27.2,27.36,,1.74,12.2,-1.87,11200.0,44620.0,29.8,,3.0,,18135.0,2250.0,,241.0
ANDORRA,40.0,468 sq km,0 sq km,468 sq km,46.2,0.0,20.7,0.11,141.22,5.52,37900.0,85468.0,14.73,36.9,0.0,16188502.0,44180000.0,56805348.0,0.0,269.0
ANGOLA,45.7,"1,246,700 sq km",860 sq km,"1,246,700 sq km",15.9,0.19,32.3,3.34,65.0,1.1,5900.0,35981281.0,8.53,18.5,32.0,230610.0,11550000.0,15327864.0,2761.0,26000.0
ANGUILLA,0.0,91 sq km,0 sq km,91 sq km,35.7,10.48,23.0,1.77,20.1,-8.5,12200.0,19079.0,8.0,,1.0,5000.0,13056.0,26000.0,,175.0
ANTIGUA AND BARBUDA,20.5,443 sq km,1.3 sq km,443 sq km,32.7,2.01,,1.13,86.8,5.27,19100.0,101489.0,11.0,,2.0,8000.0,89280.0,180000.0,,1170.0
ARGENTINA,53.9,"2,780,400 sq km","23,600 sq km","2,736,690 sq km",32.4,0.08,35.5,0.8,57.6,10.4,21500.0,46621847.0,10.9,29.9,161.0,9571562.0,39150000.0,59065827.0,17866.0,281290.0
ARMENIA,59.7,"29,743 sq km","1,554 sq km","28,203 sq km",36.6,5.28,26.4,0.4,63.4,5.7,14200.0,2989091.0,20.9,36.1,10.0,430407.0,2212000.0,3599278.0,686.0,7700.0
ARUBA,11.1,180 sq km,,180 sq km,39.9,8.08,,1.11,86.0,17.17,38900.0,123.0,7.7,,1.0,19000.0,106800.0,140000.0,,1000.0
AUSTRALIA,46.65,"7,741,220 sq km","15,210 sq km","7,682,300 sq km",37.5,6.39,,1.19,69.41,2.24,49800.0,26461166.0,5.11,10.8,349.0,8470000.0,22310000.0,28270000.0,36064.0,873573.0
AUSTRIA,38.4,"83,871 sq km",382 sq km,"82,445 sq km",44.5,3.54,13.3,0.31,99.91,4.56,54100.0,8940860.0,6.3,11.4,24.0,2606000.0,8276999.0,10882217.0,6123.0,137039.0
AZERBAIJAN,57.6,"86,600 sq km","14,649 sq km","82,629 sq km",32.6,0.0,4.9,0.63,54.1,5.6,14400.0,10420515.0,6.58,16.5,30.0,1995474.0,8600000.0,10817071.0,,24981.0
"BAHAMAS, THE",1.4,"13,880 sq km",10 sq km,"10,010 sq km",32.8,0.0,9.3,0.8,84.45,13.72,30200.0,358508.0,13.24,30.8,24.0,83000.0,385400.0,466000.0,,2700.0
BAHRAIN,11.3,760 sq km,40 sq km,760 sq km,32.9,0.99,,0.85,88.5,2.23,49400.0,1553886.0,1.87,9.9,4.0,148928.0,1500000.0,1923443.0,,4122.0
BANGLADESH,70.1,"148,460 sq km","81,270 sq km","130,170 sq km",27.9,2.88,24.3,0.91,33.1,6.94,5900.0,167184465.0,5.23,14.7,16.0,10052819.0,66300000.0,181021227.0,2460.0,369105.0
BARBADOS,32.6,430 sq km,50 sq km,430 sq km,39.5,0.29,,0.24,146.93,-0.19,13800.0,303431.0,10.41,30.6,1.0,128000.0,240800.0,316633.0,,1700.0
