Country,Exchange_Rate_per_USD,Median_Age,Population_Below_Poverty_Line_percent,Population_Growth_Rate,Real_GDP_Growth_Rate_percent,Real_GDP_per_Capita_USD,Total_Literacy_Rate,Total_Population,Unemployment_Rate_percent,Youth_Unemployment_Rate,broadband_fixed_subscriptions_total,electricity_access_percent,internet_users_total,mobile_cellular_subscriptions_total,roadways_km
AFGHANISTAN,76.814,19.5,54.5,2.26,-20.74,1500.0,37.3,39232003.0,13.28,20.2,26570.0,97.0,7020000.0,23000000.0,34903.0
ALBANIA,103.52,34.3,14.3,0.19,8.52,14500.0,98.4,3101621.0,11.82,27.8,508937.0,100.0,2291000.0,2635466.0,3945.0
ALGERIA,135.064,28.9,5.5,1.27,3.5,11000.0,81.4,44758398.0,12.7,31.9,3790459.0,99.0,31240000.0,47028685.0,104000.0
AMERICAN SAMOA,,27.2,,1.74,-1.87,11200.0,,44620.0,29.8,,,59.0,18135.0,2250.0,241.0
ANDORRA,0.845,46.2,20.7,0.11,5.52,37900.0,100.0,85468.0,14.73,36.9,16188502.0,100.0,44180000.0,56805348.0,269.0
ANGOLA,631.442,15.9,32.3,3.34,1.1,5900.0,71.1,35981281.0,8.53,18.5,230610.0,48.0,11550000.0,15327864.0,26000.0
ANGUILLA,2.7,35.7,23.0,1.77,-8.5,12200.0,,19079.0,8.0,,5000.0,100.0,13056.0,26000.0,175.0
ANTIGUA AND BARBUDA,2.7,32.7,,1.13,5.27,19100.0,99.0,101489.0,11.0,,8000.0,100.0,89280.0,180000.0,1170.0
ARGENTINA,94.991,32.4,35.5,0.8,10.4,21500.0,99.0,46621847.0,10.9,29.9,9571562.0,100.0,39150000.0,59065827.0,281290.0
ARMENIA,503.77,36.6,26.4,0.4,5.7,14200.0,99.8,2989091.0,20.9,36.1,430407.0,100.0,2212000.0,3599278.0,7700.0
ARUBA,1.79,39.9,,1.11,17.17,38900.0,97.8,123.0,7.7,,19000.0,100.0,106800.0,140000.0,1000.0
AUSTRALIA,1.331,37.5,,1.19,2.24,49800.0,,26461166.0,5.11,10.8,8470000.0,100.0,22310000.0,28270000.0,873573.0
AUSTRIA,0.845,44.5,13.3,0.31,4.56,54100.0,,8940860.0,6.3,11.4,2606000.0,100.0,8276999.0,10882217.0,137039.0
AZERBAIJAN,1.7,32.6,4.9,0.63,5.6,14400.0,99.8,10420515.0,6.58,16.5,1995474.0,100.0,8600000.0,10817071.0,24981.0
"BAHAMAS, THE",1.0,32.8,9.3,0.8,13.72,30200.0,,358508.0,13.24,30.8,83000.0,100.0,385400.0,466000.0,2700.0
BAHRAIN,0.376,32.9,,0.85,2.23,49400.0,97.5,1553886.0,1.87,9.9,148928.0,100.0,1500000.0,1923443.0,4122.0
BANGLADESH,85.084,27.9,24.3,0.91,6.94,5900.0,74.9,167184465.0,5.23,14.7,10052819.0,98.0,66300000.0,181021227.0,369105.0
BARBADOS,2.0,39.5,,0.24,-0.19,13800.0,99.6,303431.0,10.41,30.6,128000.0,100.0,240800.0,316633.0,1700.0
