Country,Area_Total,Coastline,Exports_billion_USD,Imports_billion_USD,Land_Boundaries,Population_Growth_Rate,Real_GDP_Growth_Rate_percent,Real_GDP_PPP_billion_USD,Total_Population,airports_paved_runways_count,airports_unpaved_runways_count,gas_pipelines_km,heliports_count,oil_pipelines_km,petroleum_bbl_per_day,railways_km,refined_petroleum_exports_bbl_per_day,refined_petroleum_imports_bbl_per_day,refined_petroleum_products_bbl_per_day,refined_products_pipelines_km,roadways_km,waterways_km
AFGHANISTAN,"652,230 sq km",0 km,1.48,6.98,"5,987 km",2.26,-20.74,60.8,39232003.0,29.0,17.0,466.0,1.0,,0.0,,0.0,34210.0,0.0,,34903.0,1200.0
ALBANIA,"28,748 sq km",362 km,5.61,8.0,691 km,0.19,8.52,40.82,3101621.0,3.0,,498.0,,,16100.0,424.0,3250.0,26660.0,5638.0,,3945.0,41.0
ALGERIA,"2,381,740 sq km",998 km,41.78,44.32,"6,734 km",1.27,3.5,487.72,44758398.0,67.0,82.0,16415.0,4.0,7036.0,1414800.0,4020.0,578800.0,82930.0,627900.0,,104000.0,
AMERICAN SAMOA,224 sq km,116 km,428.0,615.0,0 km,1.74,-1.87,658.0,44620.0,3.0,,,,,0.0,,0.0,2346.0,0.0,,241.0,
ANDORRA,468 sq km,0 km,497.87,476.68,118 km,0.11,5.52,1798.0,85468.0,0.0,0.0,,0.0,,47200.0,0.0,562400.0,464800.0,1.0,,269.0,0.0
ANGOLA,"1,246,700 sq km","1,600 km",33.67,18.84,"5,369 km",3.34,1.1,203.87,35981281.0,32.0,70.0,352.0,1.0,1065.0,1197600.0,2761.0,30340.0,111600.0,53480.0,,26000.0,1300.0
ANGUILLA,91 sq km,61 km,7.9,186.2,0 km,1.77,-8.5,175.4,19079.0,1.0,93.0,,,,,,,,,,175.0,
ANTIGUA AND BARBUDA,443 sq km,153 km,749.48,868.8,0 km,1.13,5.27,1.78,101489.0,2.0,1.0,,,,0.0,,91.0,5065.0,0.0,,1170.0,
ARGENTINA,"2,780,400 sq km","4,989 km",87.42,72.36,"11,968 km",0.8,10.4,986.13,46621847.0,161.0,977.0,29930.0,2.0,6248.0,690200.0,17866.0,58360.0,121400.0,669800.0,,281290.0,11000.0
ARMENIA,"29,743 sq km",0 km,5.01,6.12,"1,570 km",0.4,5.7,39.61,2989091.0,10.0,1.0,3838.0,,,0.0,686.0,0.0,7145.0,0.0,,7700.0,
ARUBA,180 sq km,68.5 km,2.2,1.95,0 km,1.11,17.17,4.14,123.0,1.0,,,,,0.0,,,7891.0,,,1000.0,
AUSTRALIA,"7,741,220 sq km","25,760 km",389.79,298.71,0 km,1.19,2.24,1279.0,26461166.0,349.0,131.0,637.0,1.0,,442500.0,36064.0,64120.0,619600.0,462500.0,,873573.0,2000.0
AUSTRIA,"83,871 sq km",0 km,268.28,265.77,"2,524 km",0.31,4.56,484.7,8940860.0,24.0,28.0,1888.0,1.0,594.0,20100.0,6123.0,49960.0,135500.0,186500.0,,137039.0,358.0
AZERBAIJAN,"86,600 sq km",0 km,25.49,16.34,"2,468 km",0.63,5.6,146.31,10420515.0,30.0,7.0,3890.0,1.0,2446.0,711700.0,,46480.0,5576.0,138900.0,,24981.0,
"BAHAMAS, THE","13,880 sq km","3,542 km",3.2,4.92,0 km,0.8,13.72,12.32,358508.0,24.0,37.0,,1.0,,0.0,,,19150.0,0.0,,2700.0,
BAHRAIN,760 sq km,161 km,35.23,27.58,0 km,0.85,2.23,72.27,1553886.0,4.0,730.0,20.0,1.0,54.0,185300.0,,245300.0,14530.0,274500.0,,4122.0,
BANGLADESH,"148,460 sq km",580 km,49.39,85.3,"4,413 km",0.91,6.94,1001.0,167184465.0,16.0,2.0,2950.0,3.0,,13500.0,2460.0,901.0,81570.0,26280.0,,369105.0,8370.0
BARBADOS,430 sq km,97 km,357.0,2.12,0 km,0.24,-0.19,3.87,303431.0,1.0,,33.0,,64.0,1000.0,,0.0,10630.0,0.0,,1700.0,
BELARUS,"207,600 sq km",0 km,49.42,45.46,"3,599 km",0.32,2.3,184.48,9383853.0,33.0,32.0,5386.0,1.0,1589.0,34300.0,5528.0,351200.0,14630.0,477200.0,,86600.0,2500.0
