Country,airports_paved_runways_count,airports_unpaved_runways_count,heliports_count,roadways_km,railways_km,waterways_km,gas_pipelines_km,oil_pipelines_km,refined_products_pipelines_km,water_pipelines_km
AFGHANISTAN,29.0,17.0,1.0,34903.0,,1200.0,466.0,,,
ALBANIA,3.0,,,3945.0,424.0,41.0,498.0,,,
ALGERIA,67.0,82.0,4.0,104000.0,4020.0,,16415.0,7036.0,,
AMERICAN SAMOA,3.0,,,241.0,,,,,,
ANDORRA,0.0,0.0,0.0,269.0,0.0,0.0,,,,
ANGOLA,32.0,70.0,1.0,26000.0,2761.0,1300.0,352.0,1065.0,,
ANGUILLA,1.0,93.0,,175.0,,,,,,
ANTARCTICA,17.0,17.0,53.0,,,,,,,
ANTIGUA AND BARBUDA,2.0,1.0,,1170.0,,,,,,
ARGENTINA,161.0,977.0,2.0,281290.0,17866.0,11000.0,29930.0,6248.0,,
ARMENIA,10.0,1.0,,7700.0,686.0,,3838.0,,,
ARUBA,1.0,,,1000.0,,,,,,
AUSTRALIA,349.0,131.0,1.0,873573.0,36064.0,2000.0,637.0,,,
AUSTRIA,24.0,28.0,1.0,137039.0,6123.0,358.0,1888.0,594.0,,
AZERBAIJAN,30.0,7.0,1.0,24981.0,,,3890.0,2446.0,,
"BAHAMAS, THE",24.0,37.0,1.0,2700.0,,,,,,
BAHRAIN,4.0,730.0,1.0,4122.0,,,20.0,54.0,,
BANGLADESH,16.0,2.0,3.0,369105.0,2460.0,8370.0,2950.0,,,
BARBADOS,1.0,,,1700.0,,,33.0,64.0,,
BELARUS,33.0,32.0,1.0,86600.0,5528.0,2500.0,5386.0,1589.0,,
BELGIUM,26.0,15.0,1.0,118414.0,3602.0,2043.0,3139.0,154.0,,
BELIZE,6.0,41.0,,3281.0,,825.0,,,,
BENIN,1.0,5.0,,16000.0,438.0,150.0,134.0,,,
BERMUDA,1.0,,,447.0,,,,,,
BHUTAN,2.0,1.0,,12205.0,,,,,,
BOLIVIA,21.0,834.0,,90568.0,3960.0,10000.0,5457.0,2511.0,,
BOSNIA AND HERZEGOVINA,7.0,17.0,6.0,22926.0,965.0,990.0,147.0,,,
BOTSWANA,10.0,64.0,,31747.0,888.0,,,,,
BRAZIL,698.0,3395.0,13.0,2000000.0,29850.0,50000.0,17312.0,5959.0,6000.0,
BRITISH VIRGIN ISLANDS,2.0,2.0,,200.0,,,,,,
BRUNEI,1.0,417.0,3.0,2976.0,,209.0,33.0,,,
BULGARIA,57.0,11.0,1.0,19512.0,4029.0,470.0,2765.0,346.0,,
BURKINA FASO,2.0,21.0,,15304.0,622.0,,,,,
BURMA,36.0,28.0,11.0,157000.0,5031.0,12800.0,3739.0,1321.0,,
BURUNDI,1.0,6.0,1.0,12322.0,,673.0,,,,
CABO VERDE,9.0,418.0,,1350.0,,,,,,
CAMBODIA,6.0,10.0,1.0,47263.0,642.0,3700.0,,,,
CAMEROON,11.0,22.0,,77589.0,987.0,,53.0,1107.0,,35.0
CANADA,523.0,944.0,26.0,1042300.0,49422.0,636.0,110000.0,100000.0,16500.0,
CENTRAL AFRICAN REPUBLIC,1.0,37.0,,24000.0,,2800.0,,,,
CHAD,9.0,50.0,,40000.0,,12400.0,,582.0,,
CHILE,90.0,391.0,1.0,77801.0,,,3160.0,985.0,,
CHINA,510.0,23.0,92.0,4960600.0,150000.0,110000.0,70000.0,22900.0,9500.0,
CHRISTMAS ISLAND,1.0,110.0,,142.0,18.0,,,,,
COCOS (KEELING) ISLANDS,1.0,12.0,,22.0,,,,,,
